"","Stair","Mean","SD","CIwidth","Hemifield","Eccentricity","Condition","SUBJECT","EccentricityEff","HemifieldEff","CondEff"
"146","V_RNstair",0.315307199144173,0.0273087991769923,0.0906681037870392,"Right","Near","Upright","017",-0.5,0.5,-0.5
"147","V_RFstair",0.151545855279546,0.0271224726689469,0.0896031231160118,"Right","Far","Upright","017",0,0.5,-0.5
"148","V_RPstair",0.4638275024513,0.0262100462530444,0.0869306782520032,"Right","Peripheral","Upright","017",0.5,0.5,-0.5
"149","I_LNstair",0.317122065856975,0.0266554311092736,0.0879734655074301,"Left","Near","Inverted","017",-0.5,-0.5,0.5
"150","I_LFstair",0.239939102815321,0.0275588817924534,0.0898602593716447,"Left","Far","Inverted","017",0,-0.5,0.5
"151","I_LPstair",0.568304630858628,0.0280057218426315,0.0910594254305486,"Left","Peripheral","Inverted","017",0.5,-0.5,0.5
"152","I_RNstair",0.298528578986836,0.026685250016799,0.0877227608435158,"Right","Near","Inverted","017",-0.5,0.5,0.5
"153","I_RFstair",0.475082800249698,0.0261511829716005,0.0865685231821628,"Right","Far","Inverted","017",0,0.5,0.5
"154","I_RPstair",0.337255835204411,0.0407526512016566,0.134010654534797,"Right","Peripheral","Inverted","017",0.5,0.5,0.5
"155","V_LNstair",0.154180556282051,0.0283775943607839,0.0936868809610412,"Left","Near","Upright","019",-0.5,-0.5,-0.5
"156","V_LFstair",0.420012061960573,0.0270995802775779,0.0888097198738768,"Left","Far","Upright","019",0,-0.5,-0.5
"157","V_LPstair",0.325989059053104,0.0273805751158093,0.0908406343281553,"Left","Peripheral","Upright","019",0.5,-0.5,-0.5
"158","V_RNstair",0.265445481427672,0.0553086187285065,0.168831069987809,"Right","Near","Upright","019",-0.5,0.5,-0.5
"159","V_RFstair",0.42235161013735,0.0269091641035779,0.0889831726265297,"Right","Far","Upright","019",0,0.5,-0.5
"160","V_RPstair",0.493422515675405,0.0319795074250721,0.0951293881686755,"Right","Peripheral","Upright","019",0.5,0.5,-0.5
"161","I_LNstair",0.390666736469403,0.0340296633295808,0.107722552229534,"Left","Near","Inverted","019",-0.5,-0.5,0.5
"162","I_LFstair",0.541968140956479,0.0253733105101941,0.0838826969290465,"Left","Far","Inverted","019",0,-0.5,0.5
"163","I_LPstair",0.455834713035708,0.0260321560786667,0.0859815134499456,"Left","Peripheral","Inverted","019",0.5,-0.5,0.5
"164","I_RNstair",0.491546966070354,0.0268195292228594,0.0872447875294313,"Right","Near","Inverted","019",-0.5,0.5,0.5
"165","I_RFstair",0.475383623056905,0.0342736386300553,0.108921636078034,"Right","Far","Inverted","019",0,0.5,0.5
"166","I_RPstair",0.52732417490727,0.025529904886351,0.084456709217715,"Right","Peripheral","Inverted","019",0.5,0.5,0.5
"167","V_LNstair",0.217312522494387,0.0271278851199975,0.0893586589138334,"Left","Near","Upright","022",-0.5,-0.5,-0.5
"168","V_LFstair",0.37037404934151,0.0466514334222231,0.147496821495083,"Left","Far","Upright","022",0,-0.5,-0.5
"169","V_LPstair",0.411550029024877,0.0513257759500327,0.121016958893874,"Left","Peripheral","Upright","022",0.5,-0.5,-0.5
"170","V_RNstair",0.166829375950592,0.0275964330300448,0.0912980276411414,"Right","Near","Upright","022",-0.5,0.5,-0.5
"171","V_RFstair",0.464568223020799,0.0555577840789561,0.145691626166688,"Right","Far","Upright","022",0,0.5,-0.5
"172","V_RPstair",0.335758155834006,0.0930034917637131,0.31346975576898,"Right","Peripheral","Upright","022",0.5,0.5,-0.5
"173","I_LNstair",0.478636756321912,0.0304247872195224,0.0971768261919718,"Left","Near","Inverted","022",-0.5,-0.5,0.5
"174","I_LFstair",0.444194762144916,0.0307927323139175,0.0944810425349844,"Left","Far","Inverted","022",0,-0.5,0.5
"175","I_LPstair",0.445918073834198,0.0268954086058625,0.0891203969835316,"Left","Peripheral","Inverted","022",0.5,-0.5,0.5
"176","I_RNstair",0.444479656829083,0.0257136932615376,0.0850617918525425,"Right","Near","Inverted","022",-0.5,0.5,0.5
"177","I_RFstair",0.384329478323954,0.0471459030036756,0.120892283006812,"Right","Far","Inverted","022",0,0.5,0.5
"178","I_RPstair",0.266386213917385,0.0825169548636993,0.283534792930928,"Right","Peripheral","Inverted","022",0.5,0.5,0.5
"179","V_LNstair",0.331771817534925,0.0290479490306026,0.0957933628382536,"Left","Near","Upright","024",-0.5,-0.5,-0.5
"180","V_LFstair",0.460714765016866,0.028205530434791,0.0919606859452097,"Left","Far","Upright","024",0,-0.5,-0.5
"181","V_LPstair",0.422320991183089,0.0277247816535604,0.0912530785566645,"Left","Peripheral","Upright","024",0.5,-0.5,-0.5
"182","V_RNstair",0.218063233917415,0.0268473973444092,0.0881670714602952,"Right","Near","Upright","024",-0.5,0.5,-0.5
"183","V_RFstair",0.183580972492877,0.0269680599810379,0.08958064428007,"Right","Far","Upright","024",0,0.5,-0.5
"184","V_RPstair",0.276019373642683,0.027014616231551,0.0895792089859271,"Right","Peripheral","Upright","024",0.5,0.5,-0.5
"185","I_LNstair",0.34032107004745,0.0264970133870836,0.0872875879476219,"Left","Near","Inverted","024",-0.5,-0.5,0.5
"186","I_LFstair",0.407130681866614,0.0263855165279114,0.0868373672212229,"Left","Far","Inverted","024",0,-0.5,0.5
