"","SUBJECT","Stair","Mean","SD","CIwidth","Hemifield","Eccentricity","ART","Spelling","VisWM","Native_English_reader","Native_Latin_reader"
"119","032","RNstair",0.459288895458277,0.0219592263139295,0.0721295719664397,"Right","Near",14,69,56,"Y","Y"
"120","032","RPstair",0.612616711848941,0.0216576412979123,0.0721784297885322,"Right","Peripheral",14,69,56,"Y","Y"
"121","035","LNstair",0.253044667784137,0.0229737489827828,0.0759482993694255,"Left","Near",6,79,42,"Y","Y"
"122","035","LFstair",0.758771802157141,0.025219955145053,0.0832160841798011,"Left","Far",6,79,42,"Y","Y"
"123","035","RNstair",0.399250236605024,0.0258541775778734,0.0853690086638735,"Right","Near",6,79,42,"Y","Y"
"124","035","RFstair",0.445027666051423,0.0230479304283259,0.0760871789348291,"Right","Far",6,79,42,"Y","Y"
"125","035","LPstair",0.710755091895912,0.0219790881014824,0.0723304107847994,"Left","Peripheral",6,79,42,"Y","Y"
"126","035","RPstair",0.613235525526695,0.0216223962855328,0.0721614834898412,"Right","Peripheral",6,79,42,"Y","Y"
"127","036","RPstair",0.537519622668235,0.0237642102683539,0.0777609247574403,"Right","Peripheral",7,73,37,"Y","Y"
"128","036","RNstair",0.236278068303534,0.023259254317359,0.0767209651242163,"Right","Near",7,73,37,"Y","Y"
"129","036","RFstair",0.393697656515904,0.0225708445519384,0.0748864611324083,"Right","Far",7,73,37,"Y","Y"
"130","036","LPstair",0.58889346021933,0.0215193438946428,0.0704560920652376,"Left","Peripheral",7,73,37,"Y","Y"
"131","036","LNstair",0.464358159766204,0.0214430300717539,0.0717420496096297,"Left","Near",7,73,37,"Y","Y"
"132","036","LFstair",0.641623989776742,0.0219422940029503,0.0727290213173323,"Left","Far",7,73,37,"Y","Y"
"133","037","LFstair",0.290021329635228,0.0251490553362214,0.0835076274916092,"Left","Far",16,83,33,"Y","Y"
"134","037","LNstair",0.185122667092707,0.0246748347851533,0.0807661936221689,"Left","Near",16,83,33,"Y","Y"
"135","037","LPstair",0.55787369461117,0.0224112963907946,0.0740835161329382,"Left","Peripheral",16,83,33,"Y","Y"
"136","037","RNstair",0.219115089434977,0.0227130023866954,0.0753467334592927,"Right","Near",16,83,33,"Y","Y"
"137","037","RFstair",0.212106357588417,0.0234401323878968,0.0776366865537195,"Right","Far",16,83,33,"Y","Y"
"138","037","RPstair",0.475622873373169,0.0216461723179571,0.0723027298482222,"Right","Peripheral",16,83,33,"Y","Y"
"139","038","LPstair",0.408778572114458,0.0219275820300771,0.0720926291851076,"Left","Peripheral",7,67,33,"Y","Y"
"140","038","LNstair",0.49349609327999,0.0279920523430966,0.090427103229509,"Left","Near",7,67,33,"Y","Y"
"141","038","LFstair",0.461955584418808,0.0242388480303008,0.0788425370245914,"Left","Far",7,67,33,"Y","Y"
"142","038","RPstair",0.575541929244533,0.0241724326363524,0.0791431038597894,"Right","Peripheral",7,67,33,"Y","Y"
"143","038","RNstair",0.384901239252569,0.0238062564357084,0.0782363262737508,"Right","Near",7,67,33,"Y","Y"
"144","038","RFstair",0.540712062665137,0.021416319963116,0.0704522045662878,"Right","Far",7,67,33,"Y","Y"
"145","039","LPstair",0.607342376625053,0.022502565970849,0.0745045000838134,"Left","Peripheral",11,60,41,"Y","Y"
"146","039","RPstair",0.587283763213257,0.0215080828885344,0.0714346244351559,"Right","Peripheral",11,60,41,"Y","Y"
"147","039","LFstair",0.302778668978205,0.0225888047438695,0.0749331127785056,"Left","Far",11,60,41,"Y","Y"
"148","039","RNstair",0.290761923073563,0.0227539501783445,0.0753906332136354,"Right","Near",11,60,41,"Y","Y"
"149","039","RFstair",0.548992838039826,0.0222501685447992,0.0732706941638953,"Right","Far",11,60,41,"Y","Y"
"150","039","LNstair",0.436884889172841,0.0246887988212299,0.08083351544335,"Left","Near",11,60,41,"Y","Y"
"151","040","RNstair",0.272886342071697,0.0226284472444478,0.0750073537908215,"Right","Near",0,72,43,"Y","Y"
"152","040","LNstair",0.438317658889497,0.0237439053914738,0.0783439996192516,"Left","Near",0,72,43,"Y","Y"
"153","040","LFstair",0.499736438037839,0.0226961527498882,0.0748224984472446,"Left","Far",0,72,43,"Y","Y"
"154","040","LPstair",0.568461542386324,0.0216597714569434,0.0712335589626182,"Left","Peripheral",0,72,43,"Y","Y"
"155","040","RFstair",0.481991947978602,0.0214243829936224,0.0711393317493992,"Right","Far",0,72,43,"Y","Y"
"156","040","RPstair",0.578998665392652,0.0213472952654715,0.0698047846806993,"Right","Peripheral",0,72,43,"Y","Y"
"157","041","LFstair",0.528242252660902,0.0213366018060882,0.0703220735713358,"Left","Far",9,71,48,"Y","Y"
"158","041","RNstair",0.205695822497582,0.0231300798472776,0.0764908029128806,"Right","Near",9,71,48,"Y","Y"
"159","041","LNstair",0.388692816718498,0.022261391652164,0.0732874927494614,"Left","Near",9,71,48,"Y","Y"
"160","041","LPstair",0.622637314558979,0.0217484564606625,0.0723698697947305,"Left","Peripheral",9,71,48,"Y","Y"
"161","041","RFstair",0.475702934130333,0.0218550155568296,0.072922817797013,"Right","Far",9,71,48,"Y","Y"
"162","041","RPstair",0.46441534571071,0.021434200101687,0.0717201985811434,"Right","Peripheral",9,71,48,"Y","Y"
"163","042","LNstair",0.336680330329964,0.0224138196409484,0.0743660661860073,"Left","Near",14,84,48,"Y","Y"
"164","042","RNstair",0.151393215609423,0.024779061649139,0.0822903896119777,"Right","Near",14,84,48,"Y","Y"
"165","042","LFstair",0.540571968649052,0.021440044200749,0.070439344609052,"Left","Far",14,84,48,"Y","Y"
"166","042","LPstair",0.72299723613108,0.0222485310246278,0.0739710167434511,"Left","Peripheral",14,84,48,"Y","Y"
"167","042","RPstair",0.416590074796406,0.0221903891763822,0.0737353737386099,"Right","Peripheral",14,84,48,"Y","Y"
"168","042","RFstair",0.160949907871671,0.0273038825992617,0.0898460992686003,"Right","Far",14,84,48,"Y","Y"
"169","043","RFstair",0.248500960677231,0.0250540981556745,0.082916112309272,"Right","Far",11,78,53,"Y","Y"
"170","043","LFstair",0.440622014101447,0.0246289768501969,0.0806371937796128,"Left","Far",11,78,53,"Y","Y"
"171","043","RPstair",0.538512316432603,0.0212720519549174,0.0699173567726054,"Right","Peripheral",11,78,53,"Y","Y"
"172","043","RNstair",0.433835823142617,0.0302650054294032,0.085322220506063,"Right","Near",11,78,53,"Y","Y"
"173","043","LNstair",0.370323003326625,0.0247304730680405,0.082183492404219,"Left","Near",11,78,53,"Y","Y"
"174","043","LPstair",0.606664316147639,0.0215456292079862,0.0717519472246488,"Left","Peripheral",11,78,53,"Y","Y"
"175","045","LNstair",0.514402156231445,0.0225616871837445,0.0749813464597244,"Left","Near",3,64,45,"Y","Y"
"176","045","RFstair",0.35704345643414,0.0223540882962744,0.0740842752573718,"Right","Far",3,64,45,"Y","Y"
"177","045","LFstair",0.65929452711741,0.0217926590152434,0.0714060511668958,"Left","Far",3,64,45,"Y","Y"
"178","045","RNstair",0.292736789637477,0.0988503367439986,0.317546077441551,"Right","Near",3,64,45,"Y","Y"
"179","045","RPstair",0.474472236357332,0.0216600036644188,0.0723740814193442,"Right","Peripheral",3,64,45,"Y","Y"
"180","046","LFstair",0.432830671032143,0.0221490134522239,0.073537737840968,"Left","Far",5,81,62,"Y","Y"
"181","046","LNstair",0.18547107190053,0.0286029463701449,0.0928097005939981,"Left","Near",5,81,62,"Y","Y"
"182","046","LPstair",0.577692413770986,0.0260100675715948,0.085113048121113,"Left","Peripheral",5,81,62,"Y","Y"
"183","046","RNstair",0.42134376330483,0.0309783317850002,0.0907072063424081,"Right","Near",5,81,62,"Y","Y"
"184","046","RFstair",0.476393423043937,0.0289192381406734,0.0891429264247396,"Right","Far",5,81,62,"Y","Y"
"185","046","RPstair",0.500863099666788,0.0216927654415464,0.0713306717596789,"Right","Peripheral",5,81,62,"Y","Y"
"186","047","LFstair",0.475420525680341,0.0225892883268298,0.0748188898330552,"Left","Far",24,75,46,"Y","Y"
"187","047","LNstair",0.584136429536657,0.0293069086486906,0.0964762592236121,"Left","Near",24,75,46,"Y","Y"
"188","047","RPstair",0.261017299830229,0.022982269209257,0.0762332348340403,"Right","Peripheral",24,75,46,"Y","Y"
