"","Stair","Mean","SD","CIwidth","Hemifield","Eccentricity","Condition","SUBJECT","EccentricityEff","HemifieldEff","CondEff"
"70","L_LFstair",0.506438552322601,0.0324031928223751,0.0967888481063678,"Left","Far","Upright","022",0,-0.5,-0.5
"71","L_LPstair",0.740503132871824,0.0265106858112709,0.0873012904784028,"Left","Peripheral","Upright","022",0.5,-0.5,-0.5
"72","L_RNstair",0.212782149504033,0.0280446375271681,0.0926419813113814,"Right","Near","Upright","022",-0.5,0.5,-0.5
"73","L_RFstair",0.117253814514729,0.0297227419389391,0.0977442381937524,"Right","Far","Upright","022",0,0.5,-0.5
"74","L_RPstair",0.459228342180815,0.0531814957246932,0.115681038681098,"Right","Peripheral","Upright","022",0.5,0.5,-0.5
"75","G_LNstair",0.495393201307794,0.0256869526744237,0.084865424737543,"Left","Near","Gabor","022",-0.5,-0.5,0.5
"76","G_LFstair",0.45401128483731,0.0260664939954098,0.086403264850086,"Left","Far","Gabor","022",0,-0.5,0.5
"77","G_LPstair",0.904506741666558,0.0274677316283599,0.0913611760463776,"Left","Peripheral","Gabor","022",0.5,-0.5,0.5
"78","G_RNstair",0.399918554891354,0.0485981048851068,0.127390802232746,"Right","Near","Gabor","022",-0.5,0.5,0.5
"79","G_RFstair",0.349191289302432,0.0270219582940788,0.0886097826407369,"Right","Far","Gabor","022",0,0.5,0.5
"80","G_RPstair",0.234994476460544,0.0274535306338654,0.0910762964897854,"Right","Peripheral","Gabor","022",0.5,0.5,0.5
"81","L_LNstair",0.181622722380292,0.0273824973179711,0.0902306744633811,"Left","Near","Upright","023",-0.5,-0.5,-0.5
"82","L_LFstair",0.285799562902313,0.0338125077070864,0.104202617365634,"Left","Far","Upright","023",0,-0.5,-0.5
"83","L_LPstair",0.501367924673699,0.0291935146236947,0.0953876584924038,"Left","Peripheral","Upright","023",0.5,-0.5,-0.5
"84","L_RNstair",0.161709412690633,0.0272916158788249,0.0901961475191873,"Right","Near","Upright","023",-0.5,0.5,-0.5
"85","L_RFstair",0.135442359681567,0.0276051183195105,0.0915634381612738,"Right","Far","Upright","023",0,0.5,-0.5
"86","L_RPstair",0.322618535143034,0.0359004336088438,0.108063307814488,"Right","Peripheral","Upright","023",0.5,0.5,-0.5
"87","G_LNstair",0.455802242707541,0.0263997683361768,0.0874604618179499,"Left","Near","Gabor","023",-0.5,-0.5,0.5
"88","G_LFstair",0.467143107750886,0.025699862699454,0.0849010359609569,"Left","Far","Gabor","023",0,-0.5,0.5
"89","G_RNstair",0.553352657430769,0.0501552732672993,0.141307167971292,"Right","Near","Gabor","023",-0.5,0.5,0.5
"90","G_RFstair",0.663359107844555,0.0280771132531637,0.0928245707219394,"Right","Far","Gabor","023",0,0.5,0.5
"91","L_LNstair",0.710646240867488,0.0341885100879642,0.107685694770324,"Left","Near","Upright","024",-0.5,-0.5,-0.5
"92","L_LFstair",0.59815655818601,0.0256151938415952,0.0848343380246707,"Left","Far","Upright","024",0,-0.5,-0.5
"93","L_LPstair",0.558424400105014,0.0257359220497067,0.0852021739371208,"Left","Peripheral","Upright","024",0.5,-0.5,-0.5
"94","L_RNstair",0.243072282671341,0.0267068755999544,0.0886368551865266,"Right","Near","Upright","024",-0.5,0.5,-0.5
"95","L_RFstair",0.437067515610993,0.0269845351770158,0.0889269544699397,"Right","Far","Upright","024",0,0.5,-0.5
"96","L_RPstair",0.421379010079612,0.0261883119790236,0.0863282809630103,"Right","Peripheral","Upright","024",0.5,0.5,-0.5
"97","G_LNstair",0.593329272893652,0.0257095663198929,0.0849967245844996,"Left","Near","Gabor","024",-0.5,-0.5,0.5
"98","G_LFstair",0.665522318598057,0.0257455197408064,0.0850032150546607,"Left","Far","Gabor","024",0,-0.5,0.5
"99","G_LPstair",0.673896358611441,0.026084800651968,0.0864607512739989,"Left","Peripheral","Gabor","024",0.5,-0.5,0.5
"100","G_RNstair",0.549749136043301,0.0259097262416461,0.0857138649960834,"Right","Near","Gabor","024",-0.5,0.5,0.5
"101","G_RFstair",0.566912882699594,0.0293675455540782,0.0962865253656121,"Right","Far","Gabor","024",0,0.5,0.5
"102","G_RPstair",0.623588464852678,0.0274752472772057,0.0912013513794544,"Right","Peripheral","Gabor","024",0.5,0.5,0.5
"103","L_LNstair",0.365619522368679,0.0263428537893174,0.0873066390546995,"Left","Near","Upright","027",-0.5,-0.5,-0.5
"104","L_LFstair",0.591620389459289,0.0259477099361252,0.0855826691153198,"Left","Far","Upright","027",0,-0.5,-0.5
"105","L_LPstair",0.63493059118266,0.0272648319186288,0.0904401781052167,"Left","Peripheral","Upright","027",0.5,-0.5,-0.5
"106","L_RNstair",0.187499203892065,0.0269881976194658,0.0890630370203508,"Right","Near","Upright","027",-0.5,0.5,-0.5
"107","L_RFstair",0.188881658768804,0.0283150443778488,0.0927891609855243,"Right","Far","Upright","027",0,0.5,-0.5
"108","L_RPstair",0.367884101490446,0.0270578215988048,0.0892004853308487,"Right","Peripheral","Upright","027",0.5,0.5,-0.5
"109","G_LNstair",0.4269286840922,0.0283436310724536,0.0933578733788391,"Left","Near","Gabor","027",-0.5,-0.5,0.5
"110","G_LFstair",0.637649495148718,0.0274174895701843,0.0902991202769097,"Left","Far","Gabor","027",0,-0.5,0.5
"111","G_LPstair",0.618907196038888,0.0266678980573358,0.0877456741746573,"Left","Peripheral","Gabor","027",0.5,-0.5,0.5
"112","G_RNstair",0.437786905093279,0.0273014660353599,0.0898458443334191,"Right","Near","Gabor","027",-0.5,0.5,0.5
"113","G_RFstair",0.363662815074852,0.0269643782931346,0.0894281451416548,"Right","Far","Gabor","027",0,0.5,0.5
"114","G_RPstair",0.563435687436914,0.0261578042767796,0.0865912043733469,"Right","Peripheral","Gabor","027",0.5,0.5,0.5
"115","L_LNstair",0.29253714556329,0.0267319257304011,0.0886470406064159,"Left","Near","Upright","029",-0.5,-0.5,-0.5
"116","L_LFstair",0.644084832710924,0.027594524667947,0.0912052603839367,"Left","Far","Upright","029",0,-0.5,-0.5
"117","L_LPstair",0.478861558236017,0.0258878661389494,0.0856555288140349,"Left","Peripheral","Upright","029",0.5,-0.5,-0.5
"118","L_RNstair",0.395975008592861,0.0291132346538281,0.0961088877053544,"Right","Near","Upright","029",-0.5,0.5,-0.5
"119","L_RFstair",0.507295753839651,0.0264080916750931,0.0870403205097936,"Right","Far","Upright","029",0,0.5,-0.5
"120","L_RPstair",0.68276865207819,0.0267827492990638,0.0888698501900625,"Right","Peripheral","Upright","029",0.5,0.5,-0.5
"121","G_LNstair",0.553205477377802,0.0261667177324493,0.0867157744186282,"Left","Near","Gabor","029",-0.5,-0.5,0.5
"122","G_LFstair",0.672002443734274,0.0260908219554487,0.0860296819319205,"Left","Far","Gabor","029",0,-0.5,0.5
"123","G_LPstair",0.734426051818301,0.0264984831445122,0.0879569608257964,"Left","Peripheral","Gabor","029",0.5,-0.5,0.5
"124","G_RNstair",0.713711952666034,0.026042474532157,0.0863043375439644,"Right","Near","Gabor","029",-0.5,0.5,0.5
"125","L_LNstair",0.482484777453056,0.0262852483727955,0.0866171798797919,"Left","Near","Upright","033",-0.5,-0.5,-0.5
"126","L_LFstair",0.396786094566158,0.0259995179572387,0.0856843787638327,"Left","Far","Upright","033",0,-0.5,-0.5
"127","L_LPstair",0.487225766701383,0.025565662160401,0.0845036692866653,"Left","Peripheral","Upright","033",0.5,-0.5,-0.5
"128","L_RNstair",0.346005789942475,0.0279306221942907,0.092350820826258,"Right","Near","Upright","033",-0.5,0.5,-0.5
"129","L_RFstair",0.611098714976553,0.0269856274466656,0.088362114707916,"Right","Far","Upright","033",0,0.5,-0.5
"130","L_RPstair",0.579853613924033,0.0269684559579034,0.0885119499951993,"Right","Peripheral","Upright","033",0.5,0.5,-0.5
"131","G_LNstair",0.607595614543289,0.0289806261699461,0.0954215467246869,"Left","Near","Gabor","033",-0.5,-0.5,0.5
"132","G_LFstair",0.403898862941095,0.0285502730484707,0.0943457459597947,"Left","Far","Gabor","033",0,-0.5,0.5
"133","G_LPstair",0.80148947943376,0.0277779611222014,0.0913969854399694,"Left","Peripheral","Gabor","033",0.5,-0.5,0.5
"134","G_RNstair",0.508188153705548,0.026221618805535,0.0865341305158932,"Right","Near","Gabor","033",-0.5,0.5,0.5
"135","G_RFstair",0.716882533001126,0.0284852080938775,0.0941519850656786,"Right","Far","Gabor","033",0,0.5,0.5
"136","G_RPstair",0.681844070168376,0.0260581827322947,0.0860409096206949,"Right","Peripheral","Gabor","033",0.5,0.5,0.5
"137","L_LNstair",0.733273473298077,0.026225830160137,0.0868726203025533,"Left","Near","Upright","035",-0.5,-0.5,-0.5
"138","L_LFstair",0.945051376109032,0.0250458651639325,0.0835270550891831,"Left","Far","Upright","035",0,-0.5,-0.5
